date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_confederation,home_team_ranking,away_team_confederation,away_team_ranking
1940-08-15,Argentina,Uruguay,5,0,Friendly,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1941-02-23,Argentina,Uruguay,1,0,Copa América,Santiago,Chile,True,CONMEBOL,1886.0,CONMEBOL,1679.0
1942-01-17,Argentina,Brazil,2,1,Copa América,Montevideo,Uruguay,True,CONMEBOL,1886.0,CONMEBOL,1776.0
1942-01-24,Uruguay,Brazil,1,0,Copa América,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1776.0
1942-02-07,Uruguay,Argentina,1,0,Copa América,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1942-03-15,Spain,France,4,0,Friendly,Seville,Spain,False,UEFA,1855.0,UEFA,1853.0
1942-04-12,Germany,Spain,1,1,Friendly,Berlin,Germany,False,UEFA,1717.0,UEFA,1855.0
1942-04-19,Italy,Spain,4,0,Friendly,Milan,Italy,False,UEFA,1718.0,UEFA,1855.0
1942-05-25,Argentina,Uruguay,4,1,Copa Newton,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1942-08-25,Uruguay,Argentina,1,1,Copa Lipton,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1943-03-28,Argentina,Uruguay,3,3,Friendly,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1943-04-04,Uruguay,Argentina,0,1,Friendly,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1944-05-14,Brazil,Uruguay,6,1,Friendly,Rio de Janeiro,Brazil,False,CONMEBOL,1776.0,CONMEBOL,1679.0
1944-05-17,Brazil,Uruguay,4,0,Friendly,São Paulo,Brazil,False,CONMEBOL,1776.0,CONMEBOL,1679.0
1945-01-21,Brazil,Colombia,3,0,Copa América,Santiago,Chile,True,CONMEBOL,1776.0,CONMEBOL,1679.0
1945-01-28,Colombia,Uruguay,0,7,Copa América,Santiago,Chile,True,CONMEBOL,1679.0,CONMEBOL,1679.0
1945-02-07,Argentina,Colombia,9,1,Copa América,Santiago,Chile,True,CONMEBOL,1886.0,CONMEBOL,1679.0
1945-02-07,Brazil,Uruguay,3,0,Copa América,Santiago,Chile,True,CONMEBOL,1776.0,CONMEBOL,1679.0
1945-02-15,Argentina,Brazil,3,1,Copa América,Santiago,Chile,True,CONMEBOL,1886.0,CONMEBOL,1776.0
1945-02-25,Argentina,Uruguay,1,0,Copa América,Santiago,Chile,True,CONMEBOL,1886.0,CONMEBOL,1679.0
1945-07-18,Uruguay,Argentina,2,2,Copa Lipton,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1945-08-15,Argentina,Uruguay,6,2,Copa Newton,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1945-12-16,Brazil,Argentina,3,4,Copa Roca,São Paulo,Brazil,False,CONMEBOL,1776.0,CONMEBOL,1886.0
1945-12-20,Brazil,Argentina,6,2,Copa Roca,Rio de Janeiro,Brazil,False,CONMEBOL,1776.0,CONMEBOL,1886.0
1945-12-23,Brazil,Argentina,3,1,Copa Roca,Rio de Janeiro,Brazil,False,CONMEBOL,1776.0,CONMEBOL,1886.0
1946-01-05,Uruguay,Brazil,4,3,Copa Rio Branco,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1776.0
1946-01-23,Brazil,Uruguay,4,3,Copa América,Buenos Aires,Argentina,True,CONMEBOL,1776.0,CONMEBOL,1679.0
1946-02-02,Argentina,Uruguay,3,1,Copa América,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1946-02-10,Argentina,Brazil,2,0,Copa América,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1776.0
1947-03-29,Uruguay,Brazil,0,0,Copa Rio Branco,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1776.0
1947-04-01,Brazil,Uruguay,3,2,Copa Rio Branco,Rio de Janeiro,Brazil,False,CONMEBOL,1776.0,CONMEBOL,1679.0
1947-12-02,Colombia,Uruguay,0,2,Copa América,Guayaquil,Ecuador,True,CONMEBOL,1679.0,CONMEBOL,1679.0
